iter	Passed	Remaining
0	2	2252
1	2	1357
2	3	1012
3	3	829
4	3	714
5	3	647
6	4	596
7	4	559
8	4	526
9	5	501
10	5	481
11	5	477
12	6	463
13	6	450
14	6	436
15	6	427
16	7	416
17	7	408
18	7	401
19	8	396
20	8	390
21	8	385
22	8	374
23	9	369
24	9	366
25	9	362
26	9	359
27	10	356
28	10	352
29	10	349
30	11	347
31	11	344
32	11	342
33	11	340
34	12	337
35	12	335
36	12	333
37	13	331
38	13	329
39	13	327
40	13	326
41	14	324
42	14	322
43	14	320
44	15	319
45	15	317
46	15	315
47	15	314
48	16	313
49	16	314
50	16	313
51	17	311
52	17	309
53	17	310
54	17	308
55	18	307
56	18	306
57	18	306
58	19	305
59	19	303
60	19	302
61	19	301
62	20	301
63	20	300
64	20	299
65	21	298
66	21	297
67	21	297
68	21	295
69	22	295
70	22	296
71	23	297
72	23	297
73	23	297
74	24	299
75	24	300
76	25	299
77	25	299
78	25	298
79	25	297
80	26	296
81	26	295
82	26	293
83	26	292
84	27	291
85	27	291
86	27	290
87	27	289
88	28	287
89	28	287
90	28	286
91	28	285
92	29	285
93	29	284
94	29	283
95	30	282
96	30	282
97	30	282
98	31	282
99	31	281
100	31	280
101	31	279
102	32	278
103	32	278
104	32	277
105	32	276
106	33	276
107	33	275
108	33	274
109	34	275
110	34	275
111	34	274
112	34	274
113	35	273
114	35	272
115	35	272
116	36	271
117	36	271
118	36	271
119	36	270
120	37	270
121	37	269
122	37	269
123	38	269
124	38	270
125	39	270
126	39	271
127	39	271
128	40	271
129	40	271
130	40	270
131	41	270
132	41	269
133	41	269
134	41	268
135	42	268
136	42	267
137	42	267
138	43	266
139	43	266
140	43	266
141	44	266
142	44	265
143	44	265
144	44	264
145	45	264
146	45	263
147	45	263
148	46	262
149	46	263
150	46	262
151	46	262
152	47	262
153	47	261
154	48	261
155	48	261
156	48	261
157	49	261
158	49	260
159	49	260
160	49	260
161	50	259
162	50	260
163	51	260
164	51	259
165	51	259
166	52	259
167	52	259
168	52	259
169	53	258
170	53	258
171	53	257
172	53	257
173	54	256
174	54	256
175	54	255
176	54	254
177	55	254
178	55	253
179	55	253
180	55	253
181	56	253
182	56	252
183	56	252
184	57	252
185	57	251
186	57	251
187	58	250
188	58	250
189	58	249
190	58	249
191	59	249
192	59	248
193	59	248
194	60	248
195	60	247
196	60	247
197	60	246
198	61	246
199	61	246
200	61	245
201	62	245
202	62	245
203	62	244
204	63	244
205	63	243
206	63	243
207	63	243
208	64	242
209	64	242
210	64	242
211	65	241
212	65	241
213	65	241
214	66	241
215	66	240
216	66	239
217	66	239
218	67	239
219	67	238
220	67	238
221	67	238
222	68	237
223	68	237
224	68	237
225	69	236
226	69	236
227	69	236
228	70	235
229	70	235
230	70	235
231	70	234
232	71	234
233	71	233
234	71	233
235	72	233
236	72	232
237	72	232
238	72	232
239	73	231
240	73	231
241	73	231
242	74	230
243	74	230
244	74	230
245	75	229
246	75	229
247	75	229
248	75	229
249	76	228
250	76	228
251	76	228
252	77	228
253	77	227
254	77	227
255	78	227
256	78	226
257	78	226
258	79	226
259	79	226
260	79	226
261	80	225
262	80	225
263	80	225
264	81	224
265	81	224
266	81	224
267	81	223
268	82	223
269	82	222
270	82	222
271	83	222
272	83	222
273	83	221
274	83	221
275	84	220
276	84	220
277	84	220
278	85	219
279	85	219
280	85	219
281	85	218
282	86	218
283	86	218
284	86	217
285	87	217
286	87	216
287	87	216
288	87	216
289	88	215
290	88	215
291	88	215
292	88	214
293	89	214
294	89	213
295	89	213
296	90	213
297	90	212
298	90	212
299	91	212
300	91	211
301	91	211
302	91	211
